candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,oracle_pixel_ap_gain,routing_efficiency_ap,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,image_rescue_enabled,test_labels_used_by_router
region_wide_visual,2,2,bracket_white,60,8,0.9958363368863341,0.06002042962420089,0.9832920954842428,0.9958363368863341,0.0600204296242009,0.9832920954842428,0.0,6.938893903907228e-18,0.0,0.058557507701433045,1.184970839142701e-16,15,0,7.971938775510203e-05,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
region_permissive,2,2,connector,44,8,0.9654057553468234,0.1752936947022055,0.8604491806930153,0.9654057601161736,0.17529369178036258,0.8604491806930153,4.769350248068349e-09,-2.9218429065114293e-09,0.0,0.6428240158244422,-4.545323190459947e-09,22,0,0.00015943877551020407,0.0,0.0,1.0,0.005536873840445269,0.0,False,False
region_balanced,2,2,connector,44,8,0.9654057553468234,0.1752936947022055,0.8604491806930153,0.9654057601161736,0.17529369178036258,0.8604491806930153,4.769350248068349e-09,-2.9218429065114293e-09,0.0,0.6428240158244422,-4.545323190459947e-09,12,0,8.696660482374768e-05,0.0,0.0,1.0,0.005536873840445269,0.0,False,False
region_strict,2,2,connector,44,8,0.9654057553468234,0.1752936947022055,0.8604491806930153,0.9654057601161736,0.17529369178036258,0.8604491806930153,4.769350248068349e-09,-2.9218429065114293e-09,0.0,0.6428240158244422,-4.545323190459947e-09,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,False,False
region_wide_visual,2,2,connector,44,8,0.9654057553468234,0.1752936947022055,0.8604491806930153,0.9654057601161736,0.17529369178036258,0.8604491806930153,4.769350248068349e-09,-2.9218429065114293e-09,0.0,0.6428240158244422,-4.545323190459947e-09,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,False,False
region_permissive,2,2,metal_plate,97,8,0.9679296208829038,0.8351842715885707,0.9056428084529645,0.9679295808058662,0.8351842352631477,0.9056428084529644,-4.007703757746839e-08,-3.632542300291419e-08,-1.1102230246251565e-16,0.2669464509043392,-1.360775649193084e-07,30,0,9.862192299600252e-05,0.0,0.0,1.0,0.11801428045444982,0.0,False,False
region_balanced,2,2,metal_plate,97,8,0.9679296208829038,0.8351842715885707,0.9056428084529645,0.9679296212982099,0.8351842465510987,0.9056428084529644,4.153061228251431e-10,-2.503747198456807e-08,-1.1102230246251565e-16,0.2669464509043392,-9.379211411033255e-08,12,0,3.944876919840101e-05,0.0,0.0,1.0,0.11801428045444982,0.0,False,False
region_strict,2,2,metal_plate,97,8,0.9679296208829038,0.8351842715885707,0.9056428084529645,0.9679296212982099,0.8351842465510987,0.9056428084529644,4.153061228251431e-10,-2.503747198456807e-08,-1.1102230246251565e-16,0.2669464509043392,-9.379211411033255e-08,0,0,0.0,0.0,0.0,0.0,0.11801428045444982,0.0,False,False
region_wide_visual,2,2,metal_plate,97,8,0.9679296208829038,0.8351842715885707,0.9056428084529645,0.9679296212982099,0.8351842465510987,0.9056428084529644,4.153061228251431e-10,-2.503747198456807e-08,-1.1102230246251565e-16,0.2669464509043392,-9.379211411033255e-08,0,0,0.0,0.0,0.0,0.0,0.11801428045444982,0.0,False,False
region_permissive,2,2,tubes,101,8,0.9754544068598829,0.5653360127590658,0.8819491878130984,0.9754544080912881,0.5653361217787191,0.8819491878130984,1.231405200030622e-09,1.0901965330489816e-07,0.0,0.5445286779468786,2.002092042533957e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_balanced,2,2,tubes,101,8,0.9754544068598829,0.5653360127590658,0.8819491878130984,0.9754544080912881,0.5653361217787191,0.8819491878130984,1.231405200030622e-09,1.0901965330489816e-07,0.0,0.5445286779468786,2.002092042533957e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_strict,2,2,tubes,101,8,0.9754544068598829,0.5653360127590658,0.8819491878130984,0.9754544080912881,0.5653361217787191,0.8819491878130984,1.231405200030622e-09,1.0901965330489816e-07,0.0,0.5445286779468786,2.002092042533957e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_wide_visual,2,2,tubes,101,8,0.9754544068598829,0.5653360127590658,0.8819491878130984,0.9754544080912881,0.5653361217787191,0.8819491878130984,1.231405200030622e-09,1.0901965330489816e-07,0.0,0.5445286779468786,2.002092042533957e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_permissive,2,4,bracket_black,79,8,0.9498991943629649,0.1727008226786913,0.8536724158425253,0.949899194362965,0.17270082267869133,0.8536724158425253,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.26406749977481186,1.05107882035078e-16,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_balanced,2,4,bracket_black,79,8,0.9498991943629649,0.1727008226786913,0.8536724158425253,0.949899194362965,0.17270082267869133,0.8536724158425253,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.26406749977481186,1.05107882035078e-16,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_strict,2,4,bracket_black,79,8,0.9498991943629649,0.1727008226786913,0.8536724158425253,0.949899194362965,0.17270082267869133,0.8536724158425253,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.26406749977481186,1.05107882035078e-16,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_wide_visual,2,4,bracket_black,79,8,0.9498991943629649,0.1727008226786913,0.8536724158425253,0.949899194362965,0.17270082267869133,0.8536724158425253,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.26406749977481186,1.05107882035078e-16,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_permissive,2,4,bracket_brown,77,8,0.9461486039705125,0.06190466333377208,0.8809415877638332,0.9461486115966582,0.06190466333377208,0.8809415877638332,7.626145714922927e-09,0.0,0.0,0.3043026596112048,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_balanced,2,4,bracket_brown,77,8,0.9461486039705125,0.06190466333377208,0.8809415877638332,0.9461486115966582,0.06190466333377208,0.8809415877638332,7.626145714922927e-09,0.0,0.0,0.3043026596112048,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_strict,2,4,bracket_brown,77,8,0.9461486039705125,0.06190466333377208,0.8809415877638332,0.9461486115966582,0.06190466333377208,0.8809415877638332,7.626145714922927e-09,0.0,0.0,0.3043026596112048,0.0,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
